method,metric,dataset-6,dataset-11,dataset-1457
LCCV,score,0.04 std 0.003,0.04 std 0.003,0.56 std 0.047
LCCV,evalutations_linear,1840011.70 std 194334.921,31618.10 std 2781.566,127683.60 std 17861.306
LCCV,evalutations_log,6007.44 std 417.767,1703.68 std 84.189,2374.29 std 199.039
LCCV,evalutations_square,13865373876.90 std 2099384820.722,4017820.90 std 683786.077,56539797.00 std 12036155.997
IPL,score, 0.05 std 0.010, 0.03 std 0.003, 0.55 std 0.035
IPL,evalutations_linear,574510.40 std 187859.841,58701.60 std 5234.631,113938.80 std 15896.007
IPL,evalutations_log,2359.53 std 405.574,2374.03 std 107.327,2210.92 std 158.844
IPL,evalutations_square,5448152138.00 std 1777651699.649,11878270.00 std 1793526.890,49520169.00 std 12006584.837
ratio,score,,,
ratio,evalutations_linear,0.40 std 0.155,1.70 std 0.347,0.90 std 0.205
ratio,evalutations_log,0.50 std 0.128,1.27 std 0.241,0.93 std 0.140
ratio,evalutations_square,0.51 std 0.195,2.77 std 0.725,0.92 std 0.322
