,Dataset,Stats,LCCV Mean ± Std,IPL Mean ± Std,Ratio Mean ± Std
0,dataset-6,Error,0.04 ± 0.001,0.05 ± 0.009,-
1,dataset-6,Linear Evaluations,1923470.20 ± 103986.971,496963.20 ± 131710.920,0.36 ± 0.135
2,dataset-6,Log Evaluations,6276.20 ± 270.218,2195.42 ± 282.728,0.48 ± 0.132
3,dataset-6,Square Evaluations,14166613773.40 ± 913559938.885,4713953790.80 ± 1246552084.047,0.46 ± 0.169
4,dataset-11,Error,0.04 ± 0.003,0.03 ± 0.004,-
5,dataset-11,Linear Evaluations,29828.00 ± 3478.231,61070.60 ± 3302.355,1.77 ± 0.249
6,dataset-11,Log Evaluations,1647.28 ± 96.973,2420.95 ± 65.748,1.26 ± 0.140
7,dataset-11,Square Evaluations,3680578.40 ± 956573.671,12725634.00 ± 1199664.782,3.11 ± 0.670
8,dataset-1457,Error,0.56 ± 0.035,0.53 ± 0.014,-
9,dataset-1457,Linear Evaluations,123089.00 ± 13224.210,119702.40 ± 13390.063,0.95 ± 0.203
10,dataset-1457,Log Evaluations,2326.29 ± 149.997,2251.76 ± 135.165,0.93 ± 0.137
11,dataset-1457,Square Evaluations,52936703.00 ± 9294181.868,55493266.60 ± 10294244.462,1.05 ± 0.311
