Method,Metric,dataset-6,dataset-11,dataset-1457
LCCV,error,0.04 ± 0.001,0.04 ± 0.003,0.56 ± 0.035
LCCV,evaluations_linear,1923470.20 ± 103986.971,29828.00 ± 3478.231,123089.00 ± 13224.210
LCCV,evaluations_log,6276.20 ± 270.218,1647.28 ± 96.973,2326.29 ± 149.997
LCCV,evaluations_square,14166613773.40 ± 913559938.885,3680578.40 ± 956573.671,52936703.00 ± 9294181.868
IPL,error,0.05 ± 0.009,0.03 ± 0.004,0.53 ± 0.014
IPL,evaluations_linear,496963.20 ± 131710.920,61070.60 ± 3302.355,119702.40 ± 13390.063
IPL,evaluations_log,2195.42 ± 282.728,2420.95 ± 65.748,2251.76 ± 135.165
IPL,evaluations_square,4713953790.80 ± 1246552084.047,12725634.00 ± 1199664.782,55493266.60 ± 10294244.462
Ratio,error,,,
Ratio,evaluations_linear,0.36 ± 0.135,1.77 ± 0.249,0.95 ± 0.203
Ratio,evaluations_log,0.48 ± 0.132,1.26 ± 0.140,0.93 ± 0.137
Ratio,evaluations_square,0.46 ± 0.169,3.11 ± 0.670,1.05 ± 0.311
